Cell,lon,lat
Cell660,111.84081,31.868765
Cell661,111.8417,30.826635
Cell662,111.84212,31.736967
Cell663,111.84405,31.77001
Cell664,111.844055,31.770054
Cell665,111.848007,31.739827
Cell666,111.85011,31.770002
Cell667,111.85083,31.77444
Cell668,111.85617,32.444077
Cell669,111.89776,31.800772
Cell670,111.89862,30.911713
Cell671,111.91992,30.911524
Cell672,111.92924,32.425976
Cell673,111.93424,30.916529
Cell674,111.93946,31.138002
Cell675,111.9481,31.727215
Cell676,111.9488,30.622047
Cell677,111.95523,30.797081
Cell678,111.956535,30.262707
Cell679,108.69434,30.459412
Cell680,108.718124,30.26667
Cell681,108.74913,30.386646
Cell682,108.913635,30.278093
Cell683,108.94785,30.289562
Cell684,108.94832,30.305803
Cell685,108.94835,30.305878
Cell686,108.98644,29.406927
Cell687,109.24789,29.156017
Cell688,109.271416,29.680025
Cell689,109.2715,29.277687
Cell690,109.38462,29.471851
Cell691,109.395996,29.513557
Cell692,109.396,29.51354
Cell693,109.40335,29.51295
Cell694,109.41054,29.501072
Cell695,109.425674,29.497147
Cell696,109.44565,30.029858
Cell697,109.77233,30.701462
Cell698,109.914055,32.36399
Cell699,109.972916,30.379244
Cell700,110.152,31.441431
Cell701,110.395325,29.797968
Cell702,110.44249,30.04915
Cell703,110.4506,32.83316
Cell704,110.495346,29.882034
Cell705,110.729614,32.059254
Cell706,110.79539,32.807346
Cell707,110.99668,33.23742
Cell708,111.010635,30.49985
Cell709,111.08317,30.342806
Cell710,111.16457,30.440655
Cell711,111.169014,30.100466
Cell712,111.21051,30.548088
Cell713,111.254084,31.784791
Cell714,111.254084,31.96017533
Cell715,111.29821,30.72031
Cell716,111.4062,30.497644
Cell717,111.41371,30.431463
Cell718,111.42102,30.352335
Cell719,111.421646,30.476948
Cell720,111.42703,30.378527
Cell721,111.434074,30.384136
Cell722,111.44312,29.977127
Cell723,111.44373,30.364033
Cell724,111.454865,30.37723
Cell725,111.454956,30.390293
Cell726,111.457275,30.388094
Cell727,111.469864,30.370182
Cell728,111.471756,30.067358
Cell729,111.477554,30.114126
Cell730,111.485504,29.993662
Cell731,111.50776,30.292448
Cell732,111.510375,30.422187
Cell733,111.51073,30.95972
Cell734,111.519295,30.282099
Cell735,111.53279,30.781176
Cell736,111.53364,32.210163
Cell737,111.54714,30.382387
Cell738,111.547585,30.141502
Cell739,111.55075,30.258232
Cell740,111.60816,31.115088
Cell741,111.61236,30.386538
Cell742,111.61656,30.36543
Cell743,111.62277,30.575916
Cell744,111.62396,30.393532
Cell745,111.64086,32.26055
Cell746,111.64276,32.2449
Cell747,111.65058,32.45368
Cell748,111.66059,32.46366
Cell749,111.68425,32.3458
Cell750,111.68489,32.362877
Cell751,111.69174,32.33578
Cell752,111.69377,30.405504
Cell753,111.71061,30.344757
Cell754,111.72522,30.177341
Cell755,111.73284,32.52391
Cell756,111.73879,30.437328
Cell757,111.73923,30.444132
Cell758,111.73927,32.15217
Cell759,111.73951,30.466747
Cell760,111.741974,32.31187
Cell761,111.743918,30.440367
Cell762,111.74683,30.163652
Cell763,111.74857,30.462101
Cell764,111.754166,30.440079
Cell765,111.75971,30.476007
Cell766,111.76702,30.192932
Cell767,111.767456,30.425617
Cell768,111.7773,30.845491
Cell769,111.781204,30.154434
Cell770,111.78366,30.193161
Cell771,111.78542,30.84956
Cell772,111.79307,30.797794
Cell773,111.81184,30.810556
Cell774,111.814644,32.14927
Cell775,111.81571,30.814512
Cell776,111.81573,30.814482
Cell777,111.82121,32.141342
Cell778,111.82145,32.119164
Cell779,111.82368,30.823605
Cell780,111.82566,30.526064
Cell781,111.83322,31.757998
Cell782,111.836334,31.781254
Cell783,111.8369,30.564161
Cell784,111.83861,32.045563
Cell785,111.849625,31.789991
Cell786,111.85079,31.774483
Cell787,111.856789,31.775467
Cell788,111.859184,29.905903
Cell789,111.859505,32.34971
Cell790,111.85951,32.349678
Cell791,111.86242,32.337387
Cell792,111.862686,31.761164
Cell793,111.869225,32.355827
Cell794,111.88043,31.708124
Cell795,111.89261,32.366302
Cell796,111.892624,32.366337
Cell797,111.89445,30.772867
Cell798,111.90134,30.296291
Cell799,111.90644,30.707232
Cell800,111.90667,30.065336
Cell801,111.9075,32.114754
Cell802,111.912315,31.788795
Cell803,111.914696,30.91847
Cell804,111.91889,31.704561
Cell805,111.92728,30.697002
Cell806,111.94286,30.763403
Cell807,111.94752,32.447906
Cell808,111.94753,32.447884
Cell809,111.95553,30.45792
Cell810,111.958984,32.10644
Cell811,111.961815,30.570412
Cell812,111.97565,32.267075
Cell813,111.97699,32.386288
Cell814,108.68094,30.30772
Cell815,108.70049,30.253593
Cell816,108.71318,30.208992
Cell817,108.73222,30.301134
Cell818,108.76899,30.114391
Cell819,108.78781,30.42564
Cell820,108.84862,30.381512
Cell821,108.902405,30.267782
Cell822,108.91541,30.296251
Cell823,108.928955,30.293852
Cell824,108.929054,30.293943
Cell825,108.963,30.298544
Cell826,109.183,29.427988
Cell827,109.2471,29.242546
Cell828,109.24717,29.242474
Cell829,109.31739,29.382067
Cell830,109.367341,29.394093
Cell831,109.3744,29.509243
Cell832,109.385796,29.466284
Cell833,109.40605,29.483566
Cell834,109.42571,29.497116
Cell835,109.45194,29.5547
Cell836,109.486362,30.279431
Cell837,109.57447,30.568998
Cell838,109.966705,30.3476
Cell839,110.08346,30.448631
Cell840,110.260925,32.754913
Cell841,110.31461,30.897354
Cell842,110.44958,30.21394
Cell843,110.66713,30.20644
Cell844,110.736694,32.06794
Cell845,110.73704,32.06393
Cell846,110.79532,32.807373
Cell847,110.86044,30.471928
Cell848,110.86054,30.471899
Cell849,110.98056,31.02627
Cell850,111.05303,30.223167
Cell851,111.073074,30.179132
Cell852,111.12555,30.732262
Cell853,111.145676,30.419165
Cell854,111.16458,30.440657
Cell855,111.25348,30.403482
Cell856,111.254084,31.948889
Cell857,111.254084,32.383478
Cell858,111.3055,30.854237
Cell859,111.352486,30.557842
Cell860,111.38739,30.523872
Cell861,111.41375,30.431473
Cell862,111.419415,30.407048
Cell863,111.44764,30.357569
Cell864,111.44787,30.375208
Cell865,111.45426,30.397425
Cell866,111.45646,30.385027
Cell867,111.456696,30.38483
Cell868,111.45965,30.392872
Cell869,111.463005,30.398275
Cell870,111.46821,32.55651
Cell871,111.47835,30.256441
Cell872,111.49962,30.437914
Cell873,111.50607,30.400652
Cell874,111.507675,30.28227
Cell875,111.51217,30.556164
Cell876,111.5175,32.53694
Cell877,111.53976,30.644814
Cell878,111.56724,30.63162
Cell879,111.56727,30.631618
Cell880,111.58573,30.534475
Cell881,111.596634,32.36775
Cell882,111.604614,32.249992
Cell883,111.61311,30.98829
Cell884,111.6187,32.28309
Cell885,111.62638,31.05336
Cell886,111.62743,30.360842
Cell887,111.631,30.379135
Cell888,111.637535,32.406128
Cell889,111.66795,30.706087
Cell890,111.676346,32.336987
Cell891,111.676605,32.24759
Cell892,111.676674,32.351498
Cell893,111.68261,32.39753
Cell894,111.6844,32.33924
Cell895,111.693825,30.419641
Cell896,111.693825,30.419647
Cell897,111.69906,30.413582
Cell898,111.70556,32.363354
Cell899,111.705696,31.603868
Cell900,111.71061,30.344748
Cell901,111.71068,30.344727
Cell902,111.71298,32.286377
Cell903,111.714874,30.423979
Cell904,111.7164,30.341204
Cell905,111.72915,32.28423
Cell906,111.731186,32.231834
Cell907,111.74023,30.472443
Cell908,111.74778,30.446392
Cell909,111.74871,30.2935
Cell910,111.75386,30.175379
Cell911,111.75386,30.175392
Cell912,111.75407,30.189932
Cell913,111.75575,30.426071
Cell914,111.75581,30.426071
Cell915,111.75694,30.486956
Cell916,111.760635,30.163794
Cell917,111.76396,30.815083
Cell918,111.76922,30.805159
Cell919,111.77427,30.821108
Cell920,111.77557,30.814661
Cell921,111.78048,30.169838
Cell922,111.781265,30.154425
Cell923,111.78213,30.818895
Cell924,111.78551,32.15364
Cell925,111.78614,30.439198
Cell926,111.78902,30.205072
Cell927,111.79488,30.198267
Cell928,111.80327,32.12476
Cell929,111.811287,30.820327
Cell930,111.811325,31.765701
Cell931,111.82123,32.141327
