p,x,y,j,c
460-00-185253-64,114.26315,30.582047,C12,1
460-00-185869-64,114.25111,30.637064,C12,1
460-00-439539-1,114.25733,30.543274,C12,1
460-00-438610-3,114.19738,30.60874,C12,1
460-00-305490-130,114.27656,30.57663,C12,1
460-00-435014-12,114.27143,30.57144,C12,1
460-00-436152-2,114.26624,30.57416,C12,1
460-00-564827-64,114.18711,30.529198,C12,1
460-00-187062-65,114.34048,30.71732,C12,1
460-00-303657-141,114.24531,30.62181,C12,1
460-00-187242-65,114.21013,30.514969,C12,1
460-00-442781-11,114.26929,30.58536,C12,1
460-00-186144-66,114.275826,30.574839,C12,1
460-00-438692-1,114.12613,30.46585,C12,1
460-00-307922-129,114.21945,30.557653,C12,1
460-00-438452-2,114.264288,30.595627,C12,1
460-00-438307-3,114.21071,30.57342,C12,1
460-00-308150-133,114.25317,30.583832,C12,1
460-00-305710-129,114.21732,30.59652,C12,1
460-00-438862-3,114.176246,30.475437,C12,1
460-00-304107-136,114.282457,30.605549,C12,1
460-00-36292-194,114.235504,30.523691,C12,1
460-00-438399-3,114.18461,30.58573,C12,1
460-00-439774-3,114.30215,30.60263,C12,1
460-00-438288-3,114.24965,30.55375,C12,1
460-00-439151-2,114.32085,30.63884,C12,1
460-00-438293-2,114.20554,30.56791,C12,1
460-00-308061-128,114.12544,30.47599,C12,1
460-00-186186-66,114.26966,30.571112,C12,1
460-00-435107-1,114.262341,30.625865,C12,1
460-00-440153-2,114.25921,30.61904,C12,1
460-00-187307-66,114.14744,30.621132,C12,1
460-00-303225-139,114.139086,30.624719,C12,1
460-00-439157-3,114.269755,30.542928,C12,1
460-00-185675-64,114.282419,30.585831,C12,1
460-00-439763-3,114.26969,30.58672,C12,1
460-00-304027-134,114.165112,30.508142,C12,1
460-00-438352-1,114.29158,30.58867,C12,1
460-00-438762-1,114.15391,30.47417,C12,1
460-00-435482-8,114.26026,30.63111,C12,1
460-00-439119-3,114.26287,30.58365,C12,1
460-00-439774-2,114.30215,30.60263,C12,1
460-00-439081-2,114.19153,30.54301,C12,1
460-00-185308-66,114.250114,30.574968,C12,1
460-00-305800-131,114.22821,30.58187,C12,1
460-00-439309-2,114.235581,30.606851,C12,1
460-00-438953-1,114.28865,30.595655,C12,1
460-00-440063-1,114.28586,30.70378,C12,1
460-00-439372-3,114.27012,30.58918,C12,1
460-00-303250-129,114.29824,30.59391,C12,1
460-00-435315-2,114.28902,30.71537,C12,1
460-00-439853-2,114.32757,30.63781,C12,1
460-00-440055-14,114.33333,30.71972,C12,1
460-00-438343-1,114.26595,30.58221,C12,1
460-00-584586-141,114.26726,30.59427,C12,1
460-00-435083-12,114.14885,30.49432,C12,1
460-00-440169-2,114.28668,30.58253,C12,1
460-00-438274-1,114.30479,30.608913,C12,1
460-00-564678-64,114.30961,30.60683,C12,1
460-00-438419-2,114.245328,30.587287,C12,1
460-00-439350-3,114.24478,30.553581,C12,1
460-00-308150-135,114.25303,30.583721,C12,1
460-00-435244-3,114.09329,30.424831,C12,1
460-00-440184-1,114.23722,30.55581,C12,1
460-00-439684-2,114.25773,30.61461,C12,1
460-00-435014-6,114.271431,30.571438,C12,1
460-00-442742-11,114.268902,30.585815,C12,1
460-00-305773-136,114.154979,30.520376,C12,1
460-00-439824-14,114.28385,30.585314,C12,1
460-00-584586-134,114.26629,30.59352,C12,1
460-00-438762-3,114.15391,30.47417,C12,1
460-00-439036-1,114.16865,30.50994,C12,1
460-00-439792-10,114.28333,30.58264,C12,1
460-00-185171-66,114.28051,30.587511,C12,1
460-00-440080-5,114.15159,30.582815,C12,1
460-00-564691-65,114.24481,30.51891,C12,1
460-00-185210-65,114.27171,30.581762,C12,1
460-00-439116-1,114.17508,30.51878,C12,1
460-00-303560-137,114.321718,30.646322,C12,1
460-00-438504-3,114.20143,30.56611,C12,1
460-00-439036-2,114.16865,30.50994,C12,1
460-00-442781-2,114.26929,30.58536,C12,1
460-00-442597-1,114.15551,30.60361,C12,1
460-00-307978-130,114.21072,30.51796,C12,1
460-00-305078-143,114.27134,30.68249,C12,1
460-00-439687-2,114.25597,30.61882,C12,1
